speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
139.496168723381,0.547118039197635,22,0,1.2676884396724,4,4.8257,5797.50009133215,182.024999086679,148.195955926534,-165.673305656273,563.289239231329,0,100,0,0,1,0,1.2,1.2,0,0,0,-17.863000068699,-12.6730092191879,416.82,11525.5086917211,
139.613815155329,0.572925199587386,23,0,1.26629834265096,4,4.8257,5802.38951020441,181.976104897956,148.281098612577,-165.952870212566,564.239758722726,0,100,0,0,1,0,1.2,1.2,0,0,0,-18.6750945008097,-13.2484960747544,416.84,11525.2291271648,
139.731233601085,0.598710613416202,24,0,1.26491027636133,4,4.8257,5807.26945390628,181.927305460937,148.366009351978,-166.232127994118,565.189235180002,0,100,0,0,1,0,1.2,1.2,0,0,0,-19.4871889329203,-13.8239829303208,416.86,11524.9498693833,
139.848424823633,0.624474359339161,25,0,1.26352423563218,4,4.8257,5812.13995414754,181.878600458525,148.450689085433,-166.511079450337,566.137670131145,0,100,0,0,1,0,1.2,1.2,0,0,0,-20.299283365031,-14.3994697858873,416.88,11524.6709179271,
139.965389581807,0.650216515566806,26,0,1.26214021531674,4,4.8257,5817.00104246561,181.829989575344,148.535138748156,-166.789725029478,567.085065100225,0,100,0,0,1,0,1.2,1.2,0,0,0,-21.1113777971417,-14.9749566414537,416.9,11524.3922723479,
140.082128630326,0.675937159868631,27,0,1.26075821029255,4,4.8257,5821.8527502268,181.781472497732,148.619359269923,-167.06806517865,568.031421607408,0,100,0,0,1,0,1.2,1.2,0,0,0,-21.9234722292524,-15.5504434970202,416.92,11524.1139321988,
140.198642719825,0.701636369576533,28,0,1.2593782154613,4,4.8257,5826.69510862769,181.733048913723,148.703351575114,-167.346100343818,568.97674116898,0,100,0,0,1,0,1.2,1.2,0,0,0,-22.735566661363,-16.1259303525866,416.939999999999,11523.8358970336,
140.314932596883,0.727314221588226,29,0,1.25800022574867,4,4.8257,5831.52814869639,181.684718513036,148.787116582754,-167.623830969812,569.92102529736,0,100,0,0,1,0,1.2,1.2,0,0,0,-23.5476610934737,-16.7014172081531,416.959999999999,11523.5581664076,
140.430999004061,0.752970792370629,30,0,1.25662423610415,4,4.8257,5836.35190129384,181.636480987062,148.870655206556,-167.901257500331,570.864275501124,0,100,0,0,1,0,1.2,1.2,0,0,0,-24.3597555255844,-17.2769040637195,416.979999999999,11523.2807398771,
140.546842679925,0.778606157963207,31,0,1.25525024150086,4,4.8257,5841.16639711509,181.588336028849,148.953968354965,-168.178380377947,571.80649328502,0,100,0,0,1,0,1.2,1.2,0,0,0,-25.171849957695,-17.852390919286,416.999999999999,11523.0036169995,
140.662464359081,0.80422039398129,32,0,1.25387823693536,4,4.8257,5845.97166669059,181.540283333094,149.037056931194,-168.455200044114,572.747680149986,0,100,0,0,1,0,1.2,1.2,0,0,0,-25.9839443898057,-18.4278777748524,417.019999999999,11522.7267973333,
140.777864772203,0.829813575619356,33,0,1.25250821742753,4,4.8257,5850.76774038738,181.492322596126,149.119921833269,-168.731716939168,573.687837593171,0,100,0,0,1,0,1.2,1.2,0,0,0,-26.7960388219164,-19.0033646304189,417.039999999999,11522.4502804382,
140.893044646066,0.85538577765428,34,0,1.25114017802037,4,4.8257,5855.55464841038,181.444453515896,149.202563954066,-169.007931502337,574.626967107947,0,100,0,0,1,0,1.2,1.2,0,0,0,-27.608133254027,-19.5788514859853,417.059999999999,11522.1740658751,
141.008004703571,0.880937074448551,35,0,1.24977411377981,4,4.8257,5860.33242080359,181.396675791964,149.284984181354,-169.283844171745,575.565070183934,0,100,0,0,1,0,1.2,1.2,0,0,0,-28.4202276861377,-20.1543383415518,417.079999999999,11521.8981532057,
141.122745663778,0.906467539953456,36,0,1.24841001979461,4,4.8257,5865.10108745133,181.348989125487,149.367183397833,-169.559455384415,576.502148307011,0,100,0,0,1,0,1.2,1.2,0,0,0,-29.2323221182484,-20.7298251971182,417.099999999999,11521.622541993,
141.237268241932,0.931977247712238,37,0,1.24704789117613,4,4.8257,5869.86067807942,181.301393219206,149.449162481171,-169.834765576276,577.438202959339,0,100,0,0,1,0,1.2,1.2,0,0,0,-30.044416550359,-21.3053120526846,417.119999999999,11521.3472318011,
141.351573149495,0.95746627086322,38,0,1.24568772305822,4,4.8257,5874.61122225637,181.253887777436,149.530922304047,-170.109775182169,578.373235619373,0,100,0,0,1,0,1.2,1.2,0,0,0,-30.8565109824697,-21.8807989082511,417.139999999999,11521.0722221952,
141.465661094171,0.982934682142892,39,0,1.24432951059702,4,4.8257,5879.35274939458,181.206472506054,149.612463734186,-170.384484635848,579.307247761884,0,100,0,0,1,0,1.2,1.2,0,0,0,-31.6686054145804,-22.4562857638175,417.159999999999,11520.7975127416,
141.579532779936,1.00838255388898,40,0,1.24297324897083,4,4.8257,5884.0852887515,181.159147112485,149.693787634399,-170.658894369992,580.240240857973,0,100,0,0,1,0,1.2,1.2,0,0,0,-32.480699846691,-23.031772619384,417.179999999999,11520.5231030074,
141.693188907066,1.03380995804347,41,0,1.24161893337994,4,4.8257,5888.80886943078,181.111911305692,149.774894862618,-170.933004816202,581.172216375088,0,100,0,0,1,0,1.2,1.2,0,0,0,-33.2927942788017,-23.6072594749504,417.199999999999,11520.2489925612,
141.806630172163,1.05921696615564,42,0,1.24026655904648,4,4.8257,5893.52352038342,181.064764796166,149.855786271935,-171.206816405013,582.103175777045,0,100,0,0,1,0,1.2,1.2,0,0,0,-34.1048887109124,-24.1827463305169,417.219999999999,11519.9751809724,
141.919857268184,1.08460364938497,43,0,1.23891612121425,4,4.8257,5898.22927040889,181.017707295911,149.936462710639,-171.480329565893,583.033120524037,0,100,0,0,1,0,1.2,1.2,0,0,0,-34.9169831430231,-24.7582331860833,417.239999999999,11519.7016678115,
142.032870884468,1.10997007850417,44,0,1.23756761514861,4,4.8257,5902.9261481563,180.970738518437,150.016925022254,-171.753544727253,583.962052072659,0,100,0,0,1,0,1.2,1.2,0,0,0,-35.7290775751337,-25.3337200416498,417.259999999999,11519.4284526502,
142.14567170676,1.13531632390203,45,0,1.23622103613625,4,4.8257,5907.61418212546,180.923858178745,150.09717404557,-172.026462316447,584.889971875919,0,100,0,0,1,0,1.2,1.2,0,0,0,-36.5411720072444,-25.9092068972162,417.279999999999,11519.155535061,
142.258260417243,1.16064245558634,46,0,1.23487637948514,4,4.8257,5912.29340066801,180.87706599332,150.177210614683,-172.299082759781,585.816881383255,0,100,0,0,1,0,1.2,1.2,0,0,0,-37.3532664393551,-26.4846937527827,417.299999999999,11518.8829146176,
142.370637694557,1.18594854318674,47,0,1.2335336405243,4,4.8257,5916.96383198851,180.830361680115,150.257035559031,-172.571406482515,586.742782040553,0,100,0,0,1,0,1.2,1.2,0,0,0,-38.1653608714657,-27.0601806083491,417.319999999999,11518.6105908949,
142.482804213833,1.21123465595757,48,0,1.2321928146037,4,4.8257,5921.6255041455,180.783744958545,150.336649703426,-172.843433908871,587.667675290162,0,100,0,0,1,0,1.2,1.2,0,0,0,-38.9774553035764,-27.6356674639156,417.339999999999,11518.3385634685,
142.594760646712,1.23650086278066,49,0,1.23085389709408,4,4.8257,5926.27844505262,180.737215549474,150.416053868091,-173.115165462033,588.591562570912,0,100,0,0,1,0,1.2,1.2,0,0,0,-39.7895497356871,-28.211154319482,417.359999999999,11518.0668319154,
142.706507661373,1.2617472321681,50,0,1.22951688338685,4,4.8257,5930.92268247962,180.690773175204,150.495248868694,-173.386601564155,589.514445318126,0,100,0,0,1,0,1.2,1.2,0,0,0,-40.6016441677978,-28.7866411750485,417.379999999999,11517.7953958133,
