#Bump,Camber,Caster,Toe,SteerAngle,SteerRack-0.0010499984250007055,0.0,0.0,0.0,nan,0.0
-----------------------------------------0.039813632740551504,-0.01273110369840677,-0.0002978689016385733,-0.02343692422865359,-0.0006129277608286193,0.0
-----------------------------------------0.040856636500562996,-0.014981131972181545,-7.571549808565768e-05,-0.016321271679924056,-0.0005734485599244045,0.0
-----------------------------------------0.04189927255112177,-0.013474235694395912,-0.00029731333668613606,-0.022628295550732615,-0.0006295241036360068,0.0
-----------------------------------------0.0429415315085104,-0.015743667712837483,-6.609998915496973e-05,-0.015605929888700193,-0.0005870702069199855,0.0
-----------------------------------------0.043983403992405155,-0.014254008825144493,-0.0002978746203675282,-0.021994156829852292,-0.0006490094010022188,0.0
-----------------------------------------0.045024880625961015,-0.016537641472009038,-5.795091646483609e-05,-0.01504997513350765,-0.0006031551004872476,0.0
-----------------------------------------0.04606595203589517,-0.015060397547119183,-0.00029971400833593467,-0.021503419240152952,-0.0006709415205730827,0.0
-----------------------------------------0.047106608852571945,-0.017353520123842066,-5.127389756839516e-05,-0.014620287740597482,-0.0006211959609495971,0.0
-----------------------------------------0.04814684171008686,-0.015884510218963612,-0.00030279092097696363,-0.021121839503019383,-0.0006946678618167883,0.0
-----------------------------------------0.049186641246351526,-0.018183234575746637,-4.592089397588686e-05,-0.014282488123295144,-0.0006404974022226722,0.0
-----------------------------------------0.05022599810317699,-0.016719131968324693,-0.0003069556124706442,-0.02081555923441882,-0.0007193732841105191,0.0
-----------------------------------------0.051264902926358547,-0.019020493491924046,-4.1663538521930896e-05,-0.014003985111002471,-0.0006602423701359951,0.0
-----------------------------------------0.05230334636575965,-0.017558853142620873,-0.00031199924595367277,-0.020553675685361088,-0.0007441661101221477,0.0
-----------------------------------------0.05334131907539667,-0.019860765553424094,-3.823217805532461e-05,-0.013756073474480851,-0.0006795819375969731,0.0
-----------------------------------------0.05437881171352205,-0.01839994145044115,-0.0003176790273509498,-0.02030989552802346,-0.0007681727648503129,0.0
-----------------------------------------0.05541581494270908,-0.020701073279457163,-3.533674449327997e-05,-0.01351516610809882,-0.0006977227677088841,0.0
