#time,V_x,k,SlipAngle,LateralForce,DynamicS,AbsVy,
230,[0.],10000,[-0.],0.0,[0.]
231,[-2.00459997e-21],10000,[-0.],0.0,[0.]
232,[0.],10000,[-0.],0.0,[0.]
233,[0.],10000,[-0.],0.0,[0.]
234,[-2.00459997e-21],10000,[-0.],0.0,[0.]
235,[-2.00501915e-21],10000,[-0.],0.0,[0.]
236,[-2.00501924e-21],10000,[-0.],0.0,[0.]
237,[-2.00501924e-21],10000,[-0.],0.0,[0.]
238,[-2.00501924e-21],10000,[-0.],0.0,[0.]
239,[0.],10000,[-0.],0.0,[0.]
240,[0.],10000,[-0.],0.0,[0.]
241,[0.],10000,[-0.],0.0,[0.]
242,[-2.00459997e-21],10000,[-0.],0.0,[0.]
243,[-2.00501915e-21],10000,[-0.],0.0,[0.]
244,[-2.00501924e-21],10000,[-0.],0.0,[0.]
245,[-2.00501924e-21],10000,[-0.],0.0,[0.]
246,[-2.00501924e-21],10000,[-0.],0.0,[0.]
247,[-2.00501924e-21],10000,[-0.],0.0,[0.]
248,[-2.00501924e-21],10000,[-0.],0.0,[0.]
249,[-2.00501924e-21],10000,[-0.],0.0,[0.]
250,[-2.00501924e-21],10000,[-0.],0.0,[0.]
251,[-2.00501924e-21],10000,[-0.],0.0,[0.]
252,[-7.70824803e-11],10000,[-0.],0.0,[0.]
253,[-7.7236841e-11],10000,[-0.],0.0,[0.]
254,[-7.72317345e-11],10000,[-0.],0.0,[0.]
255,[-7.72276156e-11],10000,[-0.],0.0,[0.]
256,[-7.72243206e-11],10000,[-0.],0.0,[0.]
257,[-7.72216845e-11],10000,[-0.],0.0,[0.]
258,[-7.72195758e-11],10000,[-0.],0.0,[0.]
259,[-7.72178888e-11],10000,[-0.],0.0,[0.]
260,[-7.72165392e-11],10000,[-0.],0.0,[0.]
261,[-7.72154595e-11],10000,[-0.],0.0,[0.]
262,[-7.72145958e-11],10000,[-0.],0.0,[0.]
263,[-7.77425643e-11],10000,[-0.],0.0,[0.]
264,[-7.78982225e-11],10000,[-0.],0.0,[0.]
265,[-7.78926124e-11],10000,[-0.],0.0,[0.]
266,[-7.78880904e-11],10000,[-0.],0.0,[0.]
267,[-7.78844729e-11],10000,[-0.],0.0,[0.]
268,[-3.20421439e-11],10000,[-0.],0.0,[0.]
269,[2.13386893e-10],10000,[0.],0.0,[0.]
270,[1.99008455e-10],10000,[0.],0.0,[0.]
271,[1.63816559e-10],10000,[0.],0.0,[0.]
272,[1.32506866e-10],10000,[0.],0.0,[0.]
273,[1.06903972e-10],10000,[0.],0.0,[0.]
274,[8.62204665e-11],10000,[0.],0.0,[0.]
275,[6.95415373e-11],10000,[0.],0.0,[0.]
276,[5.60945796e-11],10000,[0.],0.0,[0.]
277,[4.52527059e-11],10000,[0.],0.0,[0.]
278,[3.65111673e-11],10000,[0.],0.0,[0.]
279,[2.94625876e-11],10000,[0.],0.0,[0.]
280,[2.37779356e-11],10000,[0.],0.0,[0.]
281,[1.91937662e-11],10000,[0.],0.0,[0.]
282,[1.54956556e-11],10000,[0.],0.0,[0.]
283,[1.251316e-11],10000,[0.],0.0,[0.]
284,[1.01066681e-11],10000,[0.],0.0,[0.]
285,[8.16527442e-12],10000,[0.],0.0,[0.]
286,[6.5986735e-12],10000,[0.],0.0,[0.]
287,[5.33429163e-12],10000,[0.],0.0,[0.]
288,[4.31367423e-12],10000,[0.],0.0,[0.]
289,[3.48971576e-12],10000,[0.],0.0,[0.]
290,[2.82447638e-12],10000,[0.],0.0,[0.]
